format_type;format_id;format_name;format_short_name;model_version;default_encoding;default_srid;path_type
road;1;IGN - Route500;road_ign_route500;;LATIN1;2154;directory
road;1;IGN - Route500;road_ign_route500;2.1;LATIN1;2154;directory
road;2;IGN - Route120;road_ign_route120;;LATIN1;2154;directory
road;2;IGN - Route120;road_ign_route120;1.1;LATIN1;2154;directory
road;3;IGN - BDTopo;road_ign_bdtopo;;UTF-8;2154;directory
road;3;IGN - BDTopo;road_ign_bdtopo;2.2;UTF-8;2154;directory
road;4;IGN - BDCarto;road_ign_bdcarto;;UTF-8;2154;directory
road;4;IGN - BDCarto;road_ign_bdcarto;3.2;UTF-8;2154;directory
road;5;Navteq - Navstreets;road_navteq;;LATIN1;4326;directory
road;6;TomTom - Multinet;road_tomtom;;LATIN1;4326;directory
road;6;TomTom - Multinet;road_tomtom;1409;LATIN1;4326;directory
road;7;OSM;road_osm;;UTF-8;4326;.pbf
road;8;Visum;road_visum;;LATIN1;4326;directory
poi;1;Tempus;poi_tempus;;LATIN1;4326;.shp
poi;2;INSEE - BPE;poi_insee_bpe;;LATIN1;2154;directory
